College,SAT 25-75 Percentile
Cal Tech,1530-1580
Harvard,1460-1580
MIT,1510-1580
Yale,1460-1580
Brown,1440-1570
Columbia,1470-1570
Harvey Mudd,1490-1570
Johns Hopkins,1480-1570
Princeton,1450-1570
Rice,1460-1570
Stanford,1420-1570
University of Chicago,1500-1570
University of Pennsylvania,1450-1570
Carnegie Mellon,1460-1560
Dartmouth,1440-1560
Duke,1510-1560
Notre Dame,1420-1560
University of Michigan,1340-1560
Vanderbilt,1460-1560
Washington University in St. Louis,1460-1560
Williams,1410-1560
Amherst,1410-1550
Georgetown,1380-1550
Northwestern,1430-1550
Cornell,1400-1540
Northeastern,1410-1540
NYU,1370-1540
Pomona,1390-1540
Swarthmore,1395-1540
Tufts,1380-1530
Emory,1380-1530
Georgia Tech,1370-1530
"University of California, Berkeley",1290-1530
University of Southern California,1340-1530
Case Western Reserve,1340-1520
Colby,1380-1520
Haverford,1360-1520
Middlebury,1340-1520
Reed,1325-1520
UCLA,1290-1520
Vassar,1360-1520
Wellesley,1350-1520
Wesleyan,1340-1520
Barnard,1350-1518
Bowdoin,1330-1510
Brandeis,1320-1510
Carleton,1340-1510
Grinnell,1340-1510
Hamilton,1380-1510
Pitzer,1325-1510
Smith,1325-1510
University of Virginia,1320-1510
Boston College,1330-1500
Boston University,1310-1500
Bryn Mawr,1240-1500
Claremont McKenna,1330-1500
Mount Holyoke,1270-1500
Rensselaer Polytechnic Institute,1300-1500
University of Rochester,1310-1500
Washington & Lee,1350-1500
William & Mary,1300-1490
Scripps,1320-1480
Colgate,1300-1470
Wake Forest,1290-1470
Worcester Poly,1310-1470
Colorado College,1240-1460
Davidson,1300-1460
Occidental,1270-1460
Kenyon,1280-1460
Tulane,1340-1460
University of Richmond,1280-1460
University of Florida,1290-1460
University of North Carolina,1220-1460
U.S. Air Force Academy,1300-1460
Villanova,1320-1460
Connecticut College,1310-1450
George Washington University,1270-1450
Macalaster,1280-1450
Oberlin,1270-1450
Trinity,1290-1450
U.S. Naval Academy,1230-1450
Franklin & Marshall,1210-1440
Lafayette,1250-1440
U.S. Military Academy,1210-1440
Lehigh,1260-1433
Denison,1220-1430
Holy Cross,1290-1430
Purdue,1190-1430
Whitman,1230-1430
Bates,1210-1420
Lawrence,1190-1420
Rhodes,1220-1420
St. Olaf,1150-1420
University of Miami,1250-1420
University of Pittsburgh,1243-1420
University of Wisconsin,1220-1420
Bard,1220-1418
Fordham,1230-1410
Gettysburg,1270-1410
Pepperdine,1200-1410
Sarah Lawrence,1220-1410
Skidmore,1220-1403
Bennington,1200-1400
Bucknell,1220-1400
Union,1210-1400
American,1220-1390
University of Connecticut,1170-1390
UMass Amherst,1200-1390
Dickinson,1220-1380
Lewis & Clark,1198-1380
Syracuse,1160-1370
Virginia Tech,1170-1370
DePauw,1110-1360
Hobart & William Smith,1180-1360
St. Lawrence,1180-1360
Allegheny,1140-1350
Clark,1150-1350
Muhlenberg,1170-1350
University of Vermont,1160-1350
Wheaton,1160-1350
Penn State University-University Park,1150-1340
Sewanee,1150-1340
Knox,1080-1320
St. Anselm,1140-1300
Stonehill,1120-1290
St. Michael’s,1130-1280
University of New Hampshire (UNH),1090-1280
